COMPANY;FUND;INVESTMENT MIN;INVESTMENT MAX;COUNTRY;ADDRESS;ZIP;CITY;STATE;PHONE;FAX;EMAIL;WEBSITE;STAGE;INDUSTRY PREFERENCES;INVESTOR TYPES;COMMENTS;MANAGEMENT TEAMNAME;PHONES;EMAILS
Canaan Natural Gas Management LLC;5000000000;10000000;10000000;United States of America;One Leadership Square 211 North Robinson Suite N 1000;73102;Oklahoma City;Oklahoma; 405.604.9300;(405) 604-9299;john.penton@canaanresources.com;http://www.canaanresources.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout,Mezzanine;Energy & Natural Resources;Private Equity Firm,Private Investor;;John Penton,Brent Beebe,Leo E. Woodard, Chairman and CEO,S. Mark Cain, VC of Engineering,Scott M. Rayburn, VC of Legal and General Counsel;(405) 604-9300,(405) 604-9290,(405) 604-9300,(405) 604-9300,(405) 604-9300;john.penton@canaanresources.com,brent.beebe@canaanresources.com,leo.woodard@canaanresources.com,mark.cain@canaanresources.com,scott.rayburn@canaanresources.com
Candover Investments, London;2000000000;500000000;500000000;United Kingdom;20 Old Bailey;EC4M 7LN;London;England;+44 (0) 20 7489 9848;+44 (0) 20 7248 5483;info@arle.com;http://www.candover.com/;Early Stage,Later Stage,Management Buyout,Seed,Consolidation,Expansion,Leveraged Buyout,Mezzanine,Restructuring,StartUp,Series B;Financial Services,Healthcare,Industrial Products,Industrial Services,Leisure Products and Services,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology,Tourism & Hotels;Venture Capital Firm,Private Equity Firm;;;;
Candover Italy;2000000000;500000000;500000000;Italy;Via Boito 8;20121;Milan ;;;+39 02 7209 5679;info@arle.com;http://www.candover.com/;Early Stage,Later Stage,Management Buyout,Seed,Consolidation,Expansion,Leveraged Buyout,Mezzanine,Restructuring,StartUp,Series B;Financial Services,Healthcare,Industrial Products,Industrial Services,Leisure Products and Services,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology,Tourism & Hotels;Venture Capital Firm,Private Equity Firm;;;;
Candover France;2000000000;500000000;500000000;France;23 RUE DU ROULE;75008;Paris;;+33 (0) 1 58 36 4350;+33 (0) 1 58 36 4361;info@arle.com;http://www.candover.com/;Early Stage,Later Stage,Management Buyout,Seed,Consolidation,Expansion,Leveraged Buyout,Mezzanine,Restructuring,StartUp,Series B;Financial Services,Healthcare,Industrial Products,Industrial Services,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology,Tourism & Hotels;Venture Capital Firm,Private Equity Firm;;Jan Oosterveld, Non-executive director,Malcolm Fallen, Chief Executive Officer;;
CAPITAL FOR BUSINESS;100000000;4000000;4000000;United States of America;Eleven South Meramec, Suite 1430;63105;St. Louis;Missouri;(314) 746-7427;(314) 746-8739;info@capitalforbusiness.com;http://www.capitalforbusiness.com/;Later Stage,Management Buyout,Consolidation,Expansion,Leveraged Buyout,Mezzanine,Restructuring,Recapitalization;Aerospace,Agriculture,Biotechnology,Cleantech,Computer Services,Computer Hardware,Distribution,Education,Diversified,Consumer Products,Consumer Services,Enthusiast, Craft & Hobby Products,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Industrial Products,Industrial Services,Insurance,Internet,Leisure Products and Services,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Medical Services,Pet & Animal Products/Services,Pharmaceuticals,Real Estate, Construction & Infrastructure,Retail and wholesale,Transportation;Venture Capital Firm,Private Equity Firm,Private Investor;;Stephan B. Broun, Managing Partner,Hollis A. Huells, Senior Vice President,William S. Witzofsky, Senior Vice President,Paul Novak, Vice President,Brett A. Parr, Assistant Vice President;(314) 746-7427,(314) 746-7427,(314) 746-7427,(314) 746-7427,(314) 746-7427;steve.broun@capitalforbusiness.com,holly.huels@capitalforbusiness.com,bill.witzofsky@capitalforbusiness.com,paul.novak@capitalforbusiness.com,brett.parr@capitalforbusiness.com
Capital Resource Partners;1100000000;25000000;25000000;United States of America;31 State Street, 6th Floor ;02109;Boston;Massachusetts;(617) 478-9600;(617) 478-9605;rammerman@crp.com;http://www.crp.com/;Later Stage,Management Buyout,Leveraged Buyout,Recapitalization;Business Services,Diversified,Consumer Products,Consumer Services,Healthcare,Industrial Products,Industrial Services,IT Services,Software;Private Equity Firm;;Robert C. Ammerman, Managing Partner,Jeffrey W. Potter, Partner and Chief Operating Officer,Nicholas J. Scola, Partner,Andrew A. Silverman, Senior Associate,Molly Bench,  Associate;(617) 478-9612,(617) 478-9611,(617) 478-9621,(617) 478-9620,(617) 478-9622;rammerman@crp.com,jpotter@crp.com,nscola@crp.com,asilverman@crp.com,mbench@crp.com
Sycamore Ventures California Office;1000000000;100000000;100000000;United States of America;19925 Stevens Creek Blvd;CA 95014-2358 ;Cupertino;California;(408) 973 7861;(408) 973 7261;sschiao@sycamorevc.com;http://www.sycamorevc.com/;Later Stage,Expansion;Biotechnology,Computer Services,Computer Hardware,Electronics,Communication & Computer Networks,Consumer Products,Consumer Services,Healthcare,Industrial Products,IT Services,Manufacturing,Medical Devices,Pharmaceuticals,Software,Technology,Telecommunication;Venture Capital Firm,Private Equity Firm;;Ravi Singh Partner,Seth Pierrepont Partner,Dr. Stephen Chiao Partner,John Whitman  Partner;(408) 973 7861,(408) 973 7861,(408) 973 7861,(408) 973 7861;rsingh@sycamorevc.com,spierrepont@sycamorevc.com,sschiao@sycamorevc.com,jwhitman@sycamorevc.com 
Sycamore Ventures New York Office;1000000000;100000000;100000000;United States of America;1775 Broadway ;NY 10019;New York;New York;(212) 247-4590 X 12;(212) 247-4801;kto@sycamorevc.com;http://www.sycamorevc.com/;Later Stage,Expansion;Biotechnology,Computer Services,Computer Hardware,Electronics,Communication & Computer Networks,Healthcare,Internet,IT Services,Life Sciences,Manufacturing,Pharmaceuticals,Software,Technology,Telecommunication;Venture Capital Firm,Private Investor;;David Lichtenstein, CFO,Seth Pierrepont Partner,Dr. Stephen Chiao Partner,John Whitman, Partner,Dr. Jonas Wang  Director;(212) 247-4590 X 12,(212) 247-4590 X 12,(212) 247-4590 X 12,(212) 247-4590 X 12,(212) 247-4590 X 12;dlichtenstein@sycamorevc.com ,spierrepont@sycamorevc.com,sschiao@sycamorevc.com,jwhitman@sycamorevc.com ,jwang@sycamorevc.com 
Sycamore Ventures Shanghai Office;1000000000;100000000;100000000;China/Honk Kong/Macau;1st floor, 284 Anfu Road,;200031;Shanghai;;(86) 21-5405-1313;(86) 21-5404-5528;kto@sycamorevc.com;http://www.sycamorevc.com/;Later Stage,Expansion;Biotechnology,Computer Services,Computer Hardware,Electronics,Communication & Computer Networks,Consumer Products,Consumer Services,Healthcare,Internet,IT Services,Life Sciences,Manufacturing,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Medical Devices,Pharmaceuticals,Software,Technology,Telecommunication;Venture Capital Firm,Private Equity Firm;;Dr. Stephen Chiao, Managing Partner,Peter Gerry, Managing Partner,Seth Pierrepont, Partner ;;sschiao@sycamorevc.com,pgerry@sycamorevc.com,spierrepont@sycamorevc.com
CapitalSouth Partners LLC, Dallas;500000000;25000000;25000000;United States of America;100 Highland Park Village, Suite 200;75205;Dallas;Texas;214.295.3022;(214) 295-3019;jturner@capitalsouthpartners.com;http://www.capitalsouthpartners.com/;Later Stage,Management Buyout,Consolidation,Expansion,Leveraged Buyout,Mezzanine,Recapitalization;Business Services,Consumer Products,Consumer Services,Energy & Natural Resources,Healthcare,Industrial Products,Industrial Services,Real Estate, Construction & Infrastructure,Retail and wholesale,Technology;Private Equity Firm,Private Investor;;Jay K. Turner, CFA  Director ,Joseph B. Alala, III President and CEO,Michael S. Marr Director of Portfolio Management,Keith Carlson Vice President,Richard G. Wheelahan III  Associate,M. Hunt Broyhill Partner,Michael Schmidt Analyst,Alvin Butler Associate,Lynne Girts Director of Accounting,Chris Norton Director of Underwriting;(214) 295-3022,(214) 295-3022,(214) 295-3022,(214) 295-3022,(214) 295-3022,(214) 295-3022,(214) 295-3022,(214) 295-3022,(214) 295-3022,(214) 295-3022;jturner@capitalsouthpartners.com,jalala@capitalsouthpartners.com,mmarr@capitalsouthpartners.com,kcarlson@capitalsouthpartners.com,rwheelahan@capitalsouthpartners.com,hbroyhill@capitalsouthpartners.com,mschmidt@capitalsouthpartners.com,abutler@capitalsouthpartners.com,lgirts@capitalsouthpartners.com,cnorton@capitalsouthpartners.com
CapitalWorks LLC;340000000;18000000;18000000;United States of America;EATON CENTER  1111 SUPERIOR AVENUE, SUITE 970 ;44114 ;CLEVELAND;Ohio; (216) 781-3233 ;(216) 781-6670 ;info@capitalworks.net;http://www.capitalworks.net/;Later Stage,Expansion;Business Services,Education,Diversified,Consumer Services,Healthcare,Real Estate, Construction & Infrastructure,Technology;Private Equity Firm;;Robert G. McCreary III, Chairman,John M. Mueller, President,W. Todd Martin, Principal,Kathleen D. Speer, CFO / CAO,Richard R. Hollington III, Senior Vice President; (216) 781-3233 ,(216) 781-3233,(216) 781-3233,(216) 781-3233,(216) 781-3233;rmccreary@capitalworks.net,jmueller@capitalworks.net,tmartin@capitalworks.net,kspeer@capitalworks.net,rhollington@capitalworks.net
Capitol Partners LLC;400000000;50000000;50000000;United States of America;1808 Eye Street, NW,  Suite 200 ;20006 ;Washington;District of Columbia;202.955.7960;(202) 955-7966;info@capitolpartners.com;http://www.capitolpartners.com/;Later Stage,Management Buyout,Consolidation,Expansion,Leveraged Buyout;Diversified,Healthcare,IT Services,Life Sciences,Medical Devices,Medical Services,Pharmaceuticals;Private Equity Firm;;T.J. Jubeir, Managing Partner,Indeshaw Iadenaw, Analyst,Artur Adakimov, Analyst,Jinny Goh, Associate,Julie Jubeir, Senior Vice President;202.955.7960,202.955.7960,202.955.7960,202.955.7960,202.955.7960;jubeir@capitolpartners.com,iadenaw@capitolpartners.com,akasimov@capitolpartners.com,,jjubeir@capitolpartners.com
Capiton  AG;800000000;100000000;100000000;Germany;Bleibtreustrasse 33;D-10707;Berlin;;030 - 31 59 45 - 0;+030 - 31 59 45 - 57;info@capiton.de;http://www.capiton.de/;Later Stage,Expansion;Business Services,Cleantech,Education,Communication & Computer Networks,Consumer Services,Energy & Natural Resources,Financial Services,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Insurance,Life Sciences,Manufacturing,Retail and wholesale,Transportation;Private Equity Firm;;;;
Capricorn Management GP;650000000;75000000;75000000;United States of America;30 East Elm Street;06830;Greenwich;Connecticut;(203) 861-6600;(203) 861-6671;info@capricornholdings.com;http://www.capricornholdings.com/;Later Stage,Consolidation,Expansion,Mezzanine;Business Products,Distribution,Diversified,Consumer Services,Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Manufacturing,Mining,Technology,Transportation;Private Equity Firm;;Herbers S. Winokur, Managing General Partner,James M. Better, General Partner,Don K. Rice, General Partner;(203) 861-6600,(203) 861-6600,(203) 861-6600;hsw@capricornholdings.com	,jbetter@capricornholdings.com	,drice@capricornholdings.com	
Capvis Equity Partners - Switzerland;1000000000;100000000;100000000;Switzerland;Capvis Equity Partners AG Talacker 42;CH-8022;Zurich;;+41 43 300 58 58;+41 43 300 58 59;info@capvis.com;http://www.capvis.com/;Later Stage,Management Buyout,Consolidation,Expansion,Leveraged Buyout,Mezzanine;Computer Services,Computer Hardware,Diversified,Communication & Computer Networks,Industrial Services,Internet,IT Services,Semiconductors,Technology,Telecommunication;Private Equity Firm;;;;
Cardinal Equity Partners;460000000;50000000;50000000;United States of America;280 East 96th Street, Suite 350;46240;Indianapolis;Indiana;(317) 663-0205;(317) 663-0215;jackerman@cardinalep.com;http://www.cardvent.com/;Management Buyout,Leveraged Buyout,Mezzanine,Recapitalization;Agriculture,Diversified,Consumer Products,Consumer Services,Defense, Military & Homeland Security,Financial Services,Healthcare,Industrial Services,Leisure Products and Services,Life Sciences,Manufacturing,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Medical Services,Pharmaceuticals,Retail and wholesale,Transportation,Advertising & Marketing;Private Investor;;Mr. John F. Ackerman,Mr. Peter Munson,Mr. James L. Smeltzer;(317) 663-0205,(317) 663-0215,(317) 663-0205;jackerman@cardinalep.com,pmunson@cardinalep.com,jsmeltzer@cardinalep.com
Caris Ltd.;80000000;10000000;10000000;United States of America;6655 North MacArthur Blvd;75039;Irving;Texas; 214.277.8700;(972) 590-2103;info@carisltd.com;;Consolidation,Expansion,Restructuring,Recapitalization;Financial Services,Healthcare,Medical Devices,Medical Services,Pharmaceuticals,Retail and wholesale;Private Investor;;David D. Halbert Chairman and CEO,Laurie Johansen Vice Chairman,Jonathan Knowles, PhD Vice Chairman and Chief Scientific Officer  ,George Poste, DVM, DSc, PhD, FRC Path, FRS Vice Chairman,Peter M. Castleman Board Member,Stephen L. Green Board Member; 214.277.8700, 214.277.8700,214.277.8700,214.277.8700,214.277.8700,214.277.8700;info@carisltd.com,info@carisltd.com,info@carisltd.com,info@carisltd.com,info@carisltd.com,info@carisltd.com
Carlisle Enterprises, LLC;3000000000;100000000;100000000;United States of America;4660 La Jolla Village Drive,  Suite 500;92122;San Diego;California;(858) 459-2922;(858) 459-3776;dcanedo@carlisle-acquisitions.com;http://www.carlisle-acquisitions.com/;Management Buyout,Leveraged Buyout;Business Services,Diversified,Electronics,Communication & Computer Networks,Consumer Products,Consumer Services,Defense, Military & Homeland Security,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Industrial Services,Life Sciences,Manufacturing,Real Estate, Construction & Infrastructure,Retail and wholesale,Technology,Transportation,Cellular (applications, devices and infrastructure) ,Government Services;Private Equity Firm;;Dale L. Ziegler, Managing Director,Dennis A. Dunn, Managing Director,Richard W. Detweiler, Managing Director,David L. Canedo, Managing Director,James S. Carlisle, CEO;(858) 459-2922,(858) 459-2922,(858) 459-2922,(858) 459-2922,(858) 459-2922;dziegler@carlisle-acquisitions.com,ddunn@carlisle-acquisitions.com,rdetweiler@carlisle-acquisitions.com,dcanedo@carlisle-acquisitions.com,jcarlisle@carlisle-acquisitions.com
Carson Private Capital;150000000;12000000;12000000;United States of America;500 Victory Plaza East 3030 Olive Street;75219;Dallas;Texas;(214) 999-1000;(214) 999-1022;info@carsoncapital.com;https://www.carsoncapital.com/home;Early Stage,Later Stage,Expansion;Distribution,Consumer Products,Consumer Services,Energy & Natural Resources,Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream);;;ROYAL CARSON, III Founder, Chairman and Chief Executive Office,MICHAEL HEARNE Managing Director and Principal,ROYAL CARSON, IV Managing Principal,ROBERT BARNES, Senior Energy Advisor;;
Carthage Capital Group;240000000;8000000;8000000;United States of America;145 West 57th Street, 9th Floor;10019;New York;New York;;(212) 239-7443;info@carthage.net;http://www.carthage.net/;Early Stage,Later Stage,Expansion;Communication & Computer Networks,Industrial Products,Industrial Services,Internet,IT Services,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Software,Technology,Telecommunication;Private Equity Firm;;Anthony Gee, Managing Director,Steve Sallion, Managing Partner,Woody Victor, Director;;
Castanea Partners;560000000;15000000;50000000;United States of America;Three Newton Executive Park, Suite 304;02462;Newton;Massachusetts;(617) 630-2400;(617) 630-2424 ; acollina@castaneapartners.com;http://www.castaneapartners.com/;Consolidation,Early Stage,Expansion,Later Stage,Mezzanine;Business Services,Communication &amp  Computer Networks,Consumer Products,Consumer Services,Diversified,Education,IT Services,Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production),Retail and wholesale;Private Equity Firm;;Brian J. Knez / Managing Partner  ,David Flaschen / Partner  ,Jeffrey F. Rayport / Operating Partner  ,Marc Bhargava / Associate  ,Michael Chen / Associate  ,Paul F. Gibbons / Partner  ,Robert A. Smith / Managing Partner  ,Sahil Bhargava / Associate  ,Steven T. Berg / Partner  ,Troy L. Stanfield / Partner  ;617-630-2401  ,617-630-2402  ,617-630-2407  ,617-630-2410  ,617-630-2416  ,617-630-2419  ,617-630-2428  ,617-630-2431  ,617-630-2437  ,617-630-2448  ;bknez@castaneapartners.com,dflaschen@castaneapartners.com ,jrayport@castaneapartners.com ,mbhargava@castaneapartners.com ,mchen@castaneapartners.com ,pgibbons@castaneapartners.com ,rsmith@castaneapartners.com ,sberg@castaneapartners.com ,sbhargava@castaneapartners.com ,tstanfield@castaneapartners.com 
